Date,Open,High,Low,Close,Volume,Adj Close
10/21/2016,172.839996,174.899994,172.509995,174.669998,2004400,173.676296
10/20/2016,174,175.789993,173.800003,174.509995,2471100,173.517203
10/19/2016,173.369995,175.679993,173.179993,174.509995,3676000,173.517203
10/18/2016,172.009995,173.470001,171.100006,172.630005,4482500,171.647908
10/17/2016,170.5,171.270004,168.449997,169,3061400,168.038555
10/14/2016,171.600006,172.949997,169.110001,170.520004,5282300,169.549912
10/13/2016,167.600006,167.630005,165.509995,167.419998,2713700,166.467542
10/12/2016,169.039993,169.990005,168.300003,169.300003,2404000,168.336851
10/11/2016,169.839996,170.869995,167.910004,169.039993,2680000,168.078321
10/10/2016,170.520004,171.75,170.100006,171.039993,2532000,170.066943
10/7/2016,167.5,169.979996,166.240005,169.830002,3390200,168.863835
10/6/2016,167.179993,167.289993,164.820007,167.149994,2858000,166.199073
10/5/2016,163.320007,166.570007,163.009995,166.399994,2548200,165.45334
10/4/2016,161.240005,164.149994,161.229996,162.270004,2469900,161.346846
10/3/2016,160.5,161.720001,160.25,161.070007,2444700,160.153676
9/30/2016,159.949997,162.410004,157.800003,161.270004,4497200,160.352535
9/29/2016,163.380005,163.960007,157.770004,158.949997,3733800,158.045726
9/28/2016,163.339996,163.789993,161.679993,163.449997,1678100,162.520126
9/27/2016,160.720001,163.449997,159.820007,162.889999,2602700,161.963314
9/26/2016,163.830002,163.970001,161,161.479996,2772200,160.561332
9/23/2016,167.75,168.100006,165.050003,165.130005,3421200,164.190576
9/22/2016,168.449997,169.330002,167.699997,168.020004,2467700,167.064134
9/21/2016,167.419998,168.279999,165.929993,167.029999,2333600,166.079761
9/20/2016,167.679993,168.279999,166.389999,166.470001,1532900,165.522949
9/19/2016,167.339996,168.309998,165.679993,166.210007,2030700,165.264434
9/16/2016,167.850006,168.050003,165.610001,166,4534900,165.055622
9/15/2016,165.779999,168.759995,165.759995,168.080002,1645200,167.123791
9/14/2016,167,167.860001,165.589996,166.160004,1995900,165.214715
9/13/2016,168.539993,169.970001,166.380005,167,2788200,166.049933
9/12/2016,167.009995,171.669998,166.229996,171.059998,2647900,170.086833
9/9/2016,170.830002,172.419998,168.509995,168.570007,3411800,167.611008
9/8/2016,169.350006,171.880005,168.710007,171.660004,3031600,170.683426
9/7/2016,168.699997,170.210007,168.649994,169.669998,1584300,168.704741
9/6/2016,168.720001,169.789993,167.470001,169.330002,2034900,168.366679
9/2/2016,168.520004,169.740005,167.899994,169.179993,1747500,168.217523
9/1/2016,170,170.070007,166.660004,168.509995,2843300,167.551337
8/31/2016,169.25,170.240005,167.470001,169.460007,3688200,168.495945
8/30/2016,166.220001,169.509995,166.220001,169.369995,2934100,168.406445
8/29/2016,166.600006,167.860001,166.149994,166.869995,2620900,165.274362
8/26/2016,166.759995,168.070007,165.360001,165.970001,2402200,164.382974
8/25/2016,165.080002,166.039993,164.610001,165.899994,1441400,164.313636
8/24/2016,165.779999,166.699997,164.850006,165.300003,2035300,163.719382
8/23/2016,167,167.850006,165.979996,166.080002,1965500,164.491922
8/22/2016,166,166.910004,164.889999,166.259995,1448100,164.670194
8/19/2016,165.360001,166.899994,164.5,166.229996,1840900,164.640482
8/18/2016,165.339996,166.559998,164.630005,166.059998,1750500,164.472109
8/17/2016,165.940002,166.320007,164.740005,165.669998,2061700,164.085839
8/16/2016,164.990005,166.759995,164.720001,165.649994,2523800,164.066026
8/15/2016,163.869995,165.839996,163.800003,165.550003,2222200,163.966992
8/12/2016,162.669998,163.369995,162.070007,163.25,1440800,161.688982
8/11/2016,162.199997,164.25,161.929993,163.860001,1827700,162.293149
8/10/2016,163.449997,163.600006,162.009995,162.190002,1656100,160.63912
8/9/2016,162.5,164.580002,162.5,163.440002,1957400,161.877167
8/8/2016,162.100006,163.979996,162.009995,162.830002,2266600,161.272999
8/5/2016,159.75,162.130005,159.199997,162.089996,2676100,160.54007
8/4/2016,158.220001,158.899994,157.410004,158.050003,2005700,156.538708
8/3/2016,156.449997,158.949997,156.179993,158.339996,2284700,156.825928
8/2/2016,157.649994,158.460007,155.369995,156.059998,3182800,154.567731
8/1/2016,158.809998,159.919998,157.929993,158.179993,2316300,156.667454
7/29/2016,159.509995,160.190002,158.649994,158.809998,2388200,157.291435
7/28/2016,160.179993,160.960007,158.839996,160.529999,2047400,158.994989
7/27/2016,161.199997,162.169998,160.410004,160.990005,2317200,159.450597
7/26/2016,160.679993,161.5,159.419998,161.160004,2150100,159.61897
7/25/2016,159.639999,161.330002,159.610001,160.509995,1956100,158.975176
7/22/2016,160.289993,160.729996,159.860001,160.410004,1811700,158.876142
7/21/2016,161.710007,161.899994,159.770004,160.050003,2855500,158.519583
7/20/2016,162.550003,162.889999,159.220001,161.770004,3547800,160.223138
7/19/2016,162.020004,164.080002,160.729996,161.410004,5399700,159.866579
7/18/2016,162.360001,164.089996,162.009995,163.330002,4734500,161.768218
7/15/2016,162.860001,163.139999,160.699997,161.639999,3078400,160.094376
7/14/2016,160.289993,163.240005,160.009995,162.539993,5087700,160.985764
7/13/2016,157,158.270004,156.149994,157.919998,4276400,156.409946
7/12/2016,154,157.25,153.919998,156.919998,5110800,155.419508
7/11/2016,151.490005,152.979996,151.380005,152.190002,3041600,150.734741
7/8/2016,149.360001,150.919998,148.309998,150.380005,3281400,148.942051
7/7/2016,146,148.089996,145.360001,147,2578300,145.594366
7/6/2016,142.940002,145.940002,142.619995,145.580002,2941800,144.187946
7/5/2016,146.720001,146.940002,143.330002,144.449997,3943000,143.068747
7/1/2016,148.490005,150.699997,148.070007,148.25,3096800,146.832414
6/30/2016,146.669998,148.880005,145.369995,148.580002,4528600,147.15926
6/29/2016,143.600006,145.550003,142.929993,145.5,3804100,144.108709
6/28/2016,142.210007,142.619995,139.820007,142.410004,5041500,141.04826
6/27/2016,140.070007,141.229996,138.199997,139.509995,7381000,138.175981
6/24/2016,143.029999,146.419998,140.919998,141.860001,9442200,140.503516
6/23/2016,150.559998,152.800003,150.139999,152.660004,2940500,151.200248
6/22/2016,148.009995,150.119995,147.990005,148.139999,2487600,146.723465
6/21/2016,148.5,148.830002,147.119995,148.350006,2424600,146.931463
6/20/2016,148.5,150.5,147.580002,147.75,3338900,146.337195
6/17/2016,146.630005,148.229996,145.460007,145.639999,4296500,144.24737
6/16/2016,145,146.990005,143.529999,146.630005,3499200,145.227909
6/15/2016,147.160004,148.699997,145.899994,146.160004,2981400,144.762402
6/14/2016,148.220001,149.050003,145.449997,146.190002,5069600,144.792114
6/13/2016,149,151.320007,148.589996,148.630005,3385800,147.208785
6/10/2016,151.350006,151.660004,149.570007,149.889999,4335700,148.456731
6/9/2016,153.789993,154.289993,152.460007,153.169998,2711700,151.705366
6/8/2016,155.199997,156.580002,153.910004,154.639999,2426800,153.161311
6/7/2016,157.199997,157.470001,155.169998,155.169998,2489700,153.686242
6/6/2016,156.25,157.910004,155.770004,157.059998,2540400,155.558169
6/3/2016,155.860001,156.539993,153.860001,155.669998,4329300,154.181461
6/2/2016,160.139999,160.330002,158.460007,159.279999,2257100,157.756942
6/1/2016,157.899994,160.550003,156,159.970001,2581600,158.440347
5/31/2016,160.399994,161.649994,158.550003,159.479996,2916100,157.955027
5/27/2016,158.699997,160.399994,158.320007,159.529999,2157000,158.004551
5/26/2016,161.160004,161.330002,159.169998,159.220001,2576100,157.053737
5/25/2016,158.059998,162.289993,158.029999,161.25,3259900,159.056117
5/24/2016,156.669998,158.550003,156.440002,157.589996,3038800,155.44591
5/23/2016,154.440002,156.089996,153.740005,155.449997,2767600,153.335026
5/20/2016,155.759995,156.410004,153.919998,154.509995,3247800,152.407813
5/19/2016,158.679993,159.949997,154.520004,154.699997,4712000,152.59523
5/18/2016,154.809998,160,154.649994,159.940002,3653300,157.763943
5/17/2016,154.740005,157.110001,153.770004,154.649994,2701500,152.545907
5/16/2016,155.339996,156.899994,154.600006,155.380005,3177700,153.265986
5/13/2016,157.880005,159.720001,155.259995,155.339996,2550100,153.226522
5/12/2016,160.320007,161.470001,157.309998,158.070007,2448100,155.91939
5/11/2016,161.360001,162.529999,159.279999,159.419998,2096900,157.251013
5/10/2016,158.669998,161.5,158.389999,161.419998,2379600,159.223802
5/9/2016,158.199997,159.850006,156.789993,157.509995,2097900,155.366996
5/6/2016,158.190002,160.169998,157.009995,158.850006,2301600,156.688776
5/5/2016,160.779999,160.820007,158.5,159.529999,2366200,157.359517
5/4/2016,161.199997,162.600006,159.089996,160.070007,3203900,157.892179
5/3/2016,163.660004,164.110001,161.369995,163.139999,2777000,160.920402
5/2/2016,165.080002,167.190002,163.990005,166.179993,1998400,163.919035
4/29/2016,163.800003,164.679993,162.559998,164.110001,2890800,161.877206
4/28/2016,165.350006,167.320007,164.009995,164.289993,2528000,162.05475
4/27/2016,165.830002,168.660004,164.929993,166.919998,3323600,164.648972
4/26/2016,165.380005,166,164.220001,165.839996,2251600,163.583664
4/25/2016,166,167.389999,164.059998,165.089996,2473000,162.843868
4/22/2016,165.789993,167.490005,165.660004,166.75,2680300,164.481287
4/21/2016,166.550003,168.899994,165.009995,165.320007,4165100,163.07075
4/20/2016,162,167.449997,161.940002,166.979996,4802200,164.708153
4/19/2016,157.75,163.699997,157,162.649994,5832200,160.437063
4/18/2016,157.610001,160,157.149994,159.020004,3026900,156.856462
4/15/2016,161.229996,161.779999,158.199997,158.520004,3467900,156.363264
4/14/2016,159.529999,162.270004,159.149994,160.910004,3067100,158.720747
4/13/2016,156.529999,159.990005,156.380005,159.850006,5151100,157.675171
4/12/2016,152.669998,155.089996,151.300003,154.309998,2732900,152.210537
4/11/2016,151.179993,153.899994,150.410004,152.199997,3464300,150.129244
4/8/2016,152.070007,152.869995,150.009995,150.279999,3122200,148.235368
4/7/2016,153.649994,154.029999,149.369995,150.410004,4786800,148.363604
